,mean,median,variance,percent_completed,mean_completed
REST_LF,4.615440550760206,4.4934724650930775,0.6866293941044445,100.0,4.615440550760206
TX_LF,3.916464235745164,3.533312144753836,1.8728343256283375,100.0,3.916464235745164
TX_N_LF,4.964780517516682,3.993294244845174,7.251968298313941,95.55555555555556,4.497946672581774
TY_LF,5.7841777079875785,5.033472465092473,7.964136335407658,97.77777777777777,5.574531360494448
TY_N_LF,5.971272585297548,4.778218686578612,11.266826395674922,91.11111111111111,5.094009183487576
TZ_LF,6.907079255421129,4.27859278706228,29.214117192289052,75.55555555555556,4.272852022193597
TZ_N_LF,5.678953445991839,3.657537373429932,18.068035829244202,88.88888888888889,4.513180673515786
RX_LF,9.987399212324153,9.189420294072306,19.6627127748722,64.44444444444444,7.21853727123759
RX_N_LF,9.357879433649497,7.7992091233986685,24.188968276938382,64.44444444444444,6.232189065931505
RY_LF,13.202707110213371,15.005049636282365,11.186992929177794,26.666666666666668,8.242750429616535
RY_N_LF,14.044804559189163,15.009180901069158,7.946458202833788,13.333333333333334,7.797501727944905
RZ_LF,5.534407948347406,5.274022704192703,3.6069870424353,100.0,5.534407948347406
RZ_N_LF,5.939304886076959,5.3190152493393725,8.045215634059751,93.33333333333333,5.2914538060393905
TXY_PP_LF,6.330461251000369,5.414347281859136,6.476853743809872,95.55555555555556,5.927210441079883
TXY_NN_LF,6.5324509218924325,5.9738371106204795,6.279037937809869,95.55555555555556,6.138288728961838
TYZ_NP_LF,10.309524252099578,10.189562409575956,17.942171532909654,68.88888888888889,8.187451253828133
RXZ_PN_LF,10.700747766350393,11.089676846049315,13.64980732739445,66.66666666666666,8.54768587998836
TXY_RZ_NPP_LF,8.589507878044365,7.344287094403171,11.175367010490962,86.66666666666667,7.602564105923079
R_leader_LF,7.623786262273226,6.449448171405265,12.037385911387862,88.88888888888889,6.701366112670016
