,mean,median,variance,percent_completed,mean_completed
REST_LFF,4.492864247246437,4.493114291251459,1.8346968554652423e-06,100.0,4.492864247246437
TX_LFF,4.6731242271460305,3.9229289652080297,7.125392146350234,95.34883720930233,4.169045667791925
TX_N_LFF,4.713564456850273,3.915897603694134,8.181345189597595,95.23809523809523,4.19865279735641
TY_LFF,5.18122871128439,4.444015212374325,5.4452517707914945,97.61904761904762,4.941637545780217
TY_N_LFF,7.007285867235474,4.916519549621853,17.86157844186199,88.09523809523809,5.931713035082029
TZ_LFF,6.981379083567182,4.994122766961482,24.65637875557326,81.3953488372093,5.147433095174112
TZ_N_LFF,5.740606165557922,3.993294244844492,14.831690755704658,90.69767441860465,4.790341160387888
RX_LFF,9.24454077166756,8.226957742520995,19.342919028937242,76.19047619047619,7.445042719830454
RX_N_LFF,9.332074395519141,8.636827311366233,24.32435954945084,69.04761904761905,6.778440994155132
RY_LFF,11.99019617832268,15.006743084728782,19.693405145380794,38.095238095238095,6.9977537945498085
RY_N_LFF,12.74857006713393,14.999324792315065,13.689791619863028,35.714285714285715,8.676516484427188
RZ_LFF,6.652099634006355,5.3467580145023135,9.509817367268516,92.85714285714286,6.009217619723747
RZ_N_LFF,7.480810063690653,5.993837110620916,14.740605527726622,86.04651162790698,6.260617537147259
TXY_PP_LFF,7.135333540150156,6.124420294072024,12.515847931764142,90.69767441860465,6.32827395871291
TXY_NN_LFF,6.976180991551083,5.699236280080186,11.552689982372888,90.69767441860465,6.152904182369402
TYZ_NP_LFF,10.50966098054159,11.994193239207107,20.707032863348314,55.81395348837209,6.947942900305061
RXZ_PN_LFF,10.544083232930173,10.389655338886769,12.897694282452855,73.80952380952381,8.959364788427068
TXY_RZ_NPP_LFF,9.385451551787016,7.994553903509313,9.818737686184196,86.04651162790698,8.473563452293496
R_leader_LFF,7.663242073947851,6.544331571661587,9.37057084937495,93.02325581395348,7.1130091261728765
