,mean,median,variance,percent_completed,mean_completed
REST_LF,4.615440550760206,4.4934724650930775,0.6866293941044445,100.0,4.615440550760206
REST_LFF,4.492864247246437,4.493114291251459,1.8346968554652423e-06,100.0,4.492864247246437
TX_LF,3.916464235745164,3.533312144753836,1.8728343256283375,100.0,3.916464235745164
TX_LFF,4.6731242271460305,3.9229289652080297,7.125392146350234,95.34883720930233,4.169045667791925
TX_N_LF,4.964780517516682,3.993294244845174,7.251968298313941,95.55555555555556,4.497946672581774
TX_N_LFF,4.713564456850273,3.915897603694134,8.181345189597595,95.23809523809523,4.19865279735641
TY_LF,5.7841777079875785,5.033472465092473,7.964136335407658,97.77777777777777,5.574531360494448
TY_LFF,5.18122871128439,4.444015212374325,5.4452517707914945,97.61904761904762,4.941637545780217
TY_N_LF,5.971272585297548,4.778218686578612,11.266826395674922,91.11111111111111,5.094009183487576
TY_N_LFF,7.007285867235474,4.916519549621853,17.86157844186199,88.09523809523809,5.931713035082029
TZ_LF,6.907079255421129,4.27859278706228,29.214117192289052,75.55555555555556,4.272852022193597
TZ_LFF,6.981379083567182,4.994122766961482,24.65637875557326,81.3953488372093,5.147433095174112
TZ_N_LF,5.678953445991839,3.657537373429932,18.068035829244202,88.88888888888889,4.513180673515786
TZ_N_LFF,5.740606165557922,3.993294244844492,14.831690755704658,90.69767441860465,4.790341160387888
RX_LF,9.987399212324153,9.189420294072306,19.6627127748722,64.44444444444444,7.21853727123759
RX_LFF,9.24454077166756,8.226957742520995,19.342919028937242,76.19047619047619,7.445042719830454
RX_N_LF,9.357879433649497,7.7992091233986685,24.188968276938382,64.44444444444444,6.232189065931505
RX_N_LFF,9.332074395519141,8.636827311366233,24.32435954945084,69.04761904761905,6.778440994155132
RY_LF,13.202707110213371,15.005049636282365,11.186992929177794,26.666666666666668,8.242750429616535
RY_LFF,11.99019617832268,15.006743084728782,19.693405145380794,38.095238095238095,6.9977537945498085
RY_N_LF,14.044804559189163,15.009180901069158,7.946458202833788,13.333333333333334,7.797501727944905
RY_N_LFF,12.74857006713393,14.999324792315065,13.689791619863028,35.714285714285715,8.676516484427188
RZ_LF,5.534407948347406,5.274022704192703,3.6069870424353,100.0,5.534407948347406
RZ_LFF,6.652099634006355,5.3467580145023135,9.509817367268516,92.85714285714286,6.009217619723747
RZ_N_LF,5.939304886076959,5.3190152493393725,8.045215634059751,93.33333333333333,5.2914538060393905
RZ_N_LFF,7.480810063690653,5.993837110620916,14.740605527726622,86.04651162790698,6.260617537147259
TXY_PP_LF,6.330461251000369,5.414347281859136,6.476853743809872,95.55555555555556,5.927210441079883
TXY_PP_LFF,7.135333540150156,6.124420294072024,12.515847931764142,90.69767441860465,6.32827395871291
TXY_NN_LF,6.5324509218924325,5.9738371106204795,6.279037937809869,95.55555555555556,6.138288728961838
TXY_NN_LFF,6.976180991551083,5.699236280080186,11.552689982372888,90.69767441860465,6.152904182369402
TYZ_NP_LF,10.309524252099578,10.189562409575956,17.942171532909654,68.88888888888889,8.187451253828133
TYZ_NP_LFF,10.50966098054159,11.994193239207107,20.707032863348314,55.81395348837209,6.947942900305061
RXZ_PN_LF,10.700747766350393,11.089676846049315,13.64980732739445,66.66666666666666,8.54768587998836
RXZ_PN_LFF,10.544083232930173,10.389655338886769,12.897694282452855,73.80952380952381,8.959364788427068
TXY_RZ_NPP_LF,8.589507878044365,7.344287094403171,11.175367010490962,86.66666666666667,7.602564105923079
TXY_RZ_NPP_LFF,9.385451551787016,7.994553903509313,9.818737686184196,86.04651162790698,8.473563452293496
R_leader_LF,7.623786262273226,6.449448171405265,12.037385911387862,88.88888888888889,6.701366112670016
R_leader_LFF,7.663242073947851,6.544331571661587,9.37057084937495,93.02325581395348,7.1130091261728765
